prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
神奈川,7,神奈川7区,中谷 一馬,なかたに かずま,中谷,一馬,なかたに,かずま,34,立憲,NA,新,0,1,0,1,87819,39.95
神奈川,8,神奈川8区,加藤 リカ,かとう りか,加藤,リカ,かとう,りか,45,共産,NA,新,0,0,0,0,21241,9.65
神奈川,8,神奈川8区,大西 恒樹,おおにし つねき,大西,恒樹,おおにし,つねき,53,諸派,NA,新,0,0,0,0,5518,2.51
神奈川,8,神奈川8区,江田 憲司,えだ けんじ,江田,憲司,えだ,けんじ,61,無所,NA,前,5,0,1,0,119280,54.18
神奈川,8,神奈川8区,三谷 英弘,みたに ひでひろ,三谷,英弘,みたに,ひでひろ,41,自民,公明,元,1,1,0,1,74119,33.67
神奈川,9,神奈川9区,斉藤 温,さいとう のどか,斉藤,温,さいとう,のどか,26,共産,NA,新,0,0,0,0,32290,18.38
神奈川,9,神奈川9区,中山 展宏,なかやま のりひろ,中山,展宏,なかやま,のりひろ,49,自民,公明,前,2,1,0,1,70819,40.32
神奈川,9,神奈川9区,笠 浩史,りゅう ひろふみ,笠,浩史,りゅう,ひろふみ,52,希望,NA,前,5,1,1,0,72531,41.3
神奈川,10,神奈川10区,市川 佳子,いちかわ よしこ,市川,佳子,いちかわ,よしこ,53,希望,NA,新,0,1,0,0,58053,26.25
神奈川,10,神奈川10区,畑野 君枝,はたの きみえ,畑野,君枝,はたの,きみえ,60,共産,NA,前,1,1,0,1,49305,22.29
神奈川,10,神奈川10区,田中 和徳,たなか かずのり,田中,和徳,たなか,かずのり,68,自民,公明,前,7,1,1,0,113824,51.46
神奈川,11,神奈川11区,瀬戸 和弘,せと かずひろ,瀬戸,和弘,せと,かずひろ,65,共産,NA,新,0,0,0,0,21874,11.03
神奈川,11,神奈川11区,真白 リョウ,ましろ りょう,真白,リョウ,ましろ,りょう,41,希望,NA,新,0,1,0,0,18583,9.37
神奈川,11,神奈川11区,小泉 進次郎,こいずみ しんじろう,小泉,進次郎,こいずみ,しんじろう,36,自民,NA,前,3,0,1,0,154761,78.02
神奈川,11,神奈川11区,圷 孝行,あくつ たかゆき,圷,孝行,あくつ,たかゆき,67,諸派,NA,新,0,0,0,0,3133,1.58
神奈川,12,神奈川12区,原 輝雄,はら てるお,原,輝雄,はら,てるお,43,希望,NA,新,0,1,0,0,29852,14.9
神奈川,12,神奈川12区,星野 剛士,ほしの つよし,星野,剛士,ほしの,つよし,54,自民,公明,前,2,1,0,1,83924,41.89
