year,ku,kun,party,name,age,status,nocand,wl,rank,previous,vote,voteshare,eligible,turnout,exp
1996,fukuoka,3,305,"TAKADA, YUJI",32,1,4,0,3,0,21421,11.8,335092,56.16,2749017
1996,fukuoka,3,1003,"YANO, TADASHI",31,1,4,0,4,0,4560,2.5,335092,56.16,3845964
1996,fukuoka,4,800,"WATANABE, TOMOYOSHI",55,1,4,1,1,1,86765,50.4,282650,62.89,19983724
1996,fukuoka,4,1000,"HIGASHI, JUNJI",50,2,4,0,2,2,62051,36.1,282650,62.89,10384650
1996,fukuoka,4,305,"YOSHIDA, TERUO",75,1,4,0,3,0,19211,11.2,282650,62.89,2644266
1996,fukuoka,4,1003,"HATAE, TAKASHI",47,1,4,0,4,0,3984,2.3,282650,62.89,2697284
1996,fukuoka,5,800,"HARADA, YOSHIAKI",52,3,4,1,1,2,85399,43.2,349044,58.48,16514512
1996,fukuoka,5,1000,"KUSUDA, MIKITO",55,1,4,0,2,0,66353,33.6,349044,58.48,.
1996,fukuoka,5,1003,"SATO, KOZO",60,1,4,0,3,0,25810,13.1,349044,58.48,17144386
1996,fukuoka,5,305,"KIHARA, TAMIYA",70,1,4,0,4,0,19895,10.1,349044,58.48,2795095
1996,fukuoka,6,1000,"KOGA, MASAHIRO",62,2,3,1,1,4,106262,53.6,350457,58.59,20922457
1996,fukuoka,6,800,"NESHIRO, KEN",55,1,3,0,2,0,71742,36.2,350457,58.59,18206652
1996,fukuoka,6,305,"MARUBAYASHI, HIDEHIKO",54,1,3,0,3,0,20368,10.3,350457,58.59,3040657
1996,fukuoka,7,800,"KOGA, MAKOTO",56,2,4,1,1,6,90432,42.2,325447,67.07,17694207
1996,fukuoka,7,1000,"SHIOTSUKA, KOICHI",46,1,4,0,2,0,69305,32.4,325447,67.07,8464320
1996,fukuoka,7,1001,"HOSOYA, HARUMICHI",57,2,4,0,3,2,38885,18.2,325447,67.07,10664982
1996,fukuoka,7,305,"KASAHARA, TADAO",70,1,4,0,4,0,15452,7.2,325447,67.07,2914804
1996,fukuoka,8,800,"ASO, TARO",56,2,3,1,1,6,114408,50.5,371803,63.14,7518455
1996,fukuoka,8,1001,"IWATA, JUNSUKE",59,2,3,2,2,3,80974,35.7,371803,63.14,11862326
1996,fukuoka,8,305,"HONDA, BUNKICHI",65,1,3,0,3,0,31206,13.8,371803,63.14,2998798
1996,fukuoka,9,1000,"KITAHASHI, KENJI",43,2,3,1,1,3,91757,42.6,392170,56.06,13447929
1996,fukuoka,9,928,"MIHARA, ASAHIKO",49,2,3,0,2,3,76974,35.7,392170,56.06,16580963
1996,fukuoka,9,305,"OZAWA, KAZUAKI",65,3,3,0,3,3,46656,21.7,392170,56.06,2885553
1996,fukuoka,10,800,"JIMI, SHOZABURO",50,2,4,1,1,5,95967,43.9,405912,55.33,14984231
1996,fukuoka,10,1000,"HIROTOMO, KAZUO",52,2,4,0,2,1,81678,37.4,405912,55.33,22265391
1996,fukuoka,10,305,"KINOSHITA, NORIO",49,1,4,0,3,0,36118,16.5,405912,55.33,3022650
1996,fukuoka,10,1003,"NAKASHIMA, HIDETAKA",46,1,4,0,4,0,4826,2.2,405912,55.33,3333449
1996,fukuoka,11,1000,"YAMAMOTO, KOZO",48,2,4,1,1,2,66798,38.6,273666,64.58,19068294
1996,fukuoka,11,1002,"NAKANISHI, SEKISUKE",70,2,4,2,2,8,51569,29.8,273666,64.58,11616464
1996,fukuoka,11,800,"TAKEDA, RYOTA",28,1,4,0,3,0,42152,24.3,273666,64.58,14012505
1996,fukuoka,11,305,"INOMOTO, TADAO",67,1,4,0,4,0,12741,7.4,273666,64.58,2856723
1996,fukushima,1,800,"SATO, TATSUO",59,2,4,1,1,2,102950,40.4,417509,62.53,13771111
1996,fukushima,1,1,"ISHIHARA, KENTARO",59,3,4,0,2,2,93347,36.6,417509,62.53,7619503
1996,fukushima,1,1002,"SATO, TSUNEHARU",60,3,4,0,3,1,38196,15,417509,62.53,10627834
1996,fukushima,1,305,"OKAZAKI, KATSUOA",58,1,4,0,4,0,20451,8,417509,62.53,3429481
1996,fukushima,2,800,"NEMOTO, TAKUMI",45,2,3,1,1,2,100102,49.3,322195,64.26,17622638
1996,fukushima,2,1000,"MASHIKO, TERUHIKO",49,2,3,0,2,2,88661,43.6,322195,64.26,8729149
1996,fukushima,2,305,"HIDA, TOSHIMITSU",47,1,3,0,3,0,14412,7.1,322195,64.26,2769159
1996,fukushima,3,800,"ARAI, HIROYUKI",38,2,4,1,1,2,91747,46.2,287887,70.89,10606422
1996,fukushima,3,1001,"GENBA, KOICHIRO",32,2,4,2,2,2,88214,44.4,287887,70.89,15679732
1996,fukushima,3,305,"SUZUKI, SHOICHIA",43,1,4,0,3,0,11031,5.6,287887,70.89,2776033
1996,fukushima,3,1,"SUZUKI, NAOYUKI",49,1,4,0,4,0,7688,3.9,287887,70.89,3747535
1996,fukushima,4,1000,"WATANABE, KOZOB",64,2,3,1,1,10,93960,48.7,258159,76.08,13108110
